Site,date,mean_daily
16396,2020-08-06,6.433041195584309
16396,2020-08-07,6.956142844599295
16396,2020-08-08,7.334609955801228
16396,2020-08-09,6.9080931900213045
16396,2020-08-10,6.864882195893492
16396,2020-08-11,7.007950708660987
16396,2020-08-12,6.939218608622505
16396,2020-08-13,6.928954040665552
16396,2020-08-14,7.073180404209921
16396,2020-08-15,6.662620823791482
16396,2020-08-16,6.51625140730213
16396,2020-08-17,6.631941655294927
16396,2020-08-18,6.960317008231743
16396,2020-08-19,6.562410248290928
16396,2020-08-20,6.469159179759588
16396,2020-08-21,6.304659647089258
16396,2020-08-22,6.580520192968222
16396,2020-08-23,6.282968605115177
16396,2020-08-24,6.186608434479133
16396,2020-08-25,6.2845520301832964
16396,2020-08-26,6.762432812434269
16396,2020-08-27,6.843621635550773
